Timestamp	[RAW JSON] FROM https://tjl.co/corridors-of-time/	Screenshot URL	=vl(indirect(concat("B",ROW())))	Verified?	Notes
1/15/2020 14:48:13	{"walls":[true,true,true,false,true,false],"center":"S","nodes":[["S","D","T","T","T","B","B"],["H","D","H","S","B","B","H"],["C","D","B","H","S","P","P"],["D","P","C","H","P","D","D"],["S","P","T","D","H","T","S"],["D","D","D","C","S","T","S"]]}	https://cdn.discordapp.com/attachments/666872924967403550/667127226034028572/image0.jpg		Verified	
1/15/2020 16:06:54	{"walls":[true,true,true,true,true,false],"center":"B","nodes":[["T","C","C","H","C","P","P"],["H","S","S","D","P","H","T"],["D","D","D","C","H","H","C"],["B","T","B","B","B","P","B"],["P","C","P","P","T","P","T"],["B","C","D","P","D","D","S"]]}	https://cdn.discordapp.com/attachments/134515249477976064/667146677710225431/unknown.png		Verified	
1/15/2020 16:22:47	{"walls":[true,true,false,true,true,false],"center":"B","nodes":[["D","T","D","T","C","C","B"],["T","T","T","T","P","D","T"],["S","P","P","H","B","C","S"],["T","T","D","C","B","T","B"],["T","P","T","H","B","B","B"],["S","T","B","H","C","C","C"]]}	https://cdn.discordapp.com/attachments/552722653702782977/667145754921664523/2020-01-15.png		Verified	
1/15/2020 16:25:39	{"walls":[true,true,true,true,false,true],"center":"C","nodes":[["P","H","T","P","S","S","S"],["T","H","H","P","S","C","B"],["T","H","D","B","C","P","T"],["H","T","H","B","B","T","S"],["H","S","D","D","T","P","P"],["T","S","D","P","C","P","B"]]}	https://cdn.discordapp.com/attachments/667111309715832877/667151480465129482/965D387B18F0F39DA74FD07D22906764A743F2C3.png		Verified	
1/15/2020 16:30:56	{"walls":[false,true,true,false,true,true],"center":"B","nodes":[["C","T","B","D","P","T","S"],["S","B","H","T","T","B","S"],["H","B","S","T","H","S","B"],["C","C","T","B","T","B","B"],["B","B","B","B","B","B","B"],["B","B","B","B","B","B","B"]]}	https://cdn.discordapp.com/attachments/667111309715832877/667157449140076573/unknown.png		Verified	
1/15/2020 16:32:25	{"walls":[false,false,true,false,true,false],"center":"B","nodes":[["P","S","B","B","S","T","H"],["C","D","T","S","P","P","D"],["D","T","B","S","B","B","P"],["B","P","P","P","P","H","H"],["C","D","D","P","P","H","C"],["S","P","S","H","P","C","C"]]}	https://cdn.discordapp.com/attachments/533799987423739904/667161911229415434/unknown.png		Verified	
1/15/2020 16:33:16	{"walls":[true,true,false,true,false,true],"center":"B","nodes":[["H","P","D","P","T","C","T"],["P","H","C","C","B","T","S"],["T","P","D","P","P","P","P"],["T","P","T","P","B","P","H"],["D","S","T","B","D","B","C"],["H","H","B","H","P","P","P"]]}	https://cdn.discordapp.com/attachments/413268903603601408/667159681164378153/unknown.png		Verified	
1/15/2020 16:33:50	{"walls":[true,false,true,false,false,true],"center":"B","nodes":[["T","P","C","B","C","B","C"],["P","T","C","T","B","T","S"],["D","H","P","H","B","C","C"],["P","S","C","B","T","H","C"],["B","T","B","S","B","B","H"],["C","B","T","P","T","P","B"]]}	https://i.imgur.com/2TfAnsL.png		Verified	
1/15/2020 16:36:04	{"walls":[true,false,true,true,false,true],"center":"B","nodes":[["B","C","S","P","D","H","C"],["B","H","S","C","T","T","B"],["T","P","H","C","T","C","C"],["H","T","T","C","T","C","T"],["H","T","P","B","D","D","P"],["B","H","S","T","D","H","P"]]}	https://cdn.discordapp.com/attachments/413268903603601408/667147079910555661/unknown.png		Verified	
1/15/2020 16:36:20	{"walls":[true,true,true,true,true,false],"center":"B","nodes":[["D","D","T","H","H","P","D"],["B","D","T","T","C","H","C"],["P","P","B","P","B","B","B"],["D","H","C","S","B","T","T"],["S","B","D","H","D","C","H"],["P","S","D","T","T","S","H"]]}	https://imgur.com/a/OkoE65V		Invalid	
